      1   2353     -1  2.800000e-006  2.800000e-006  8.400000e-006  4.609920e-016  0.000000e+000
      2      0   2345  2.800000e-006  2.800000e-006  1.047660e-005  4.609920e-016  0.000000e+000
      3   2331     -1  2.800000e-006  2.800000e-006  5.600000e-006  1.975680e-016  0.000000e+000
      4      0   2308  9.666490e-005  9.666490e-005  4.849740e-006  1.756160e-016  0.000000e+000
      5   2298     -1  7.269220e-005  7.269220e-005  2.240000e-005  9.878400e-016  0.000000e+000
      6      0   2281  6.536670e-005  6.536670e-005  2.274730e-005  1.975680e-016  0.000000e+000
      7      0   2280  1.690730e-004  1.690730e-004  7.919600e-006  2.853760e-016  0.000000e+000
      8      0   2276  1.331150e-004  1.331150e-004  3.130490e-005  2.853760e-016  0.000000e+000
      9      0   2262  7.565120e-005  7.565120e-005  1.187940e-005  1.756160e-016  0.000000e+000
     10   2257     -1  3.920000e-005  3.920000e-005  5.600000e-006  1.975680e-016  0.000000e+000
     11      0   2246  4.200000e-005  4.200000e-005  8.400000e-006  4.609920e-016  0.000000e+000
     12      0   2240  4.668530e-005  4.668530e-005  1.371710e-005  5.488000e-016  0.000000e+000
     13   2239     -1  2.800000e-006  2.800000e-006  3.360000e-005  1.514690e-015  0.000000e+000
     14   2238     -1  8.373820e-005  8.373820e-005  8.400000e-006  2.195200e-017  0.000000e+000
     15   2223     -1  8.203390e-005  8.203390e-005  6.260990e-006  1.097600e-016  0.000000e+000
     16   2212     -1  4.792830e-005  4.792830e-005  4.849740e-006  1.756160e-016  0.000000e+000
     17   2192     -1  1.533830e-004  1.533830e-004  5.600000e-006  1.975680e-016  0.000000e+000
     18      0   2191  5.163390e-005  5.163390e-005  4.849740e-006  1.756160e-016  0.000000e+000
     19   2189     -1  9.285200e-005  9.285200e-005  5.600000e-006  1.975680e-016  0.000000e+000
     20      0   2187  2.800000e-006  2.800000e-006  3.640000e-005  1.778110e-015  0.000000e+000
     21      0   2184  1.328230e-004  1.328230e-004  7.919600e-006  2.853760e-016  0.000000e+000
     22   2181     -1  2.800000e-006  2.800000e-006  3.080000e-005  1.514690e-015  0.000000e+000
     23   2180     -1  5.607000e-005  5.607000e-005  1.960000e-005  9.878400e-016  0.000000e+000
     24      0   2176  2.800000e-006  2.800000e-006  3.383250e-005  1.975680e-016  0.000000e+000
     25   2153     -1  1.577990e-004  1.577990e-004  2.757680e-005  1.075650e-015  0.000000e+000
     26      0   2146  3.889880e-005  3.889880e-005  1.120000e-005  2.195200e-017  0.000000e+000
     27   2144     -1  8.279030e-005  8.279030e-005  9.699490e-006  1.975680e-016  0.000000e+000
     28      0   2136  8.339790e-005  8.339790e-005  1.187940e-005  1.975680e-016  0.000000e+000
     29      0   2135  4.906000e-005  4.906000e-005  1.814610e-005  4.609920e-016  0.000000e+000
     30      0   2120  2.800000e-006  2.800000e-006  3.277320e-005  1.075650e-015  0.000000e+000
     31      0   2091  1.186170e-004  1.186170e-004  5.600000e-006  1.975680e-016  0.000000e+000
     32   2087     -1  2.800000e-006  2.800000e-006  2.800000e-005  1.339070e-015  0.000000e+000
     33   2085     -1  2.800000e-006  2.800000e-006  2.800000e-005  1.339070e-015  0.000000e+000
     34   2084     -1  2.800000e-006  2.800000e-006  3.640000e-005  1.778110e-015  0.000000e+000
     35   2078     -1  7.115560e-005  7.115560e-005  1.960000e-005  9.878400e-016  0.000000e+000
     36   2060     -1  5.178110e-005  5.178110e-005  2.520000e-005  2.195200e-017  0.000000e+000
     37      0   2046  4.162500e-005  4.162500e-005  7.919600e-006  2.853760e-016  0.000000e+000
     38      0   2045  9.258270e-005  9.258270e-005  3.959800e-006  8.780800e-017  0.000000e+000
     39      0   2034  2.112020e-004  2.112020e-004  6.260990e-006  1.097600e-016  0.000000e+000
     40   2005     -1  4.209320e-005  4.209320e-005  9.699490e-006  1.975680e-016  0.000000e+000
     41      0   1990  4.409440e-005  4.409440e-005  1.507850e-005  2.853760e-016  0.000000e+000
     42   1984     -1  2.800000e-006  2.800000e-006  2.566240e-005  1.975680e-016  0.000000e+000
     43   1961     -1  3.324820e-005  3.324820e-005  8.854380e-006  8.780800e-017  0.000000e+000
     44      0   1956  4.726940e-005  4.726940e-005  1.960000e-005  9.878400e-016  0.000000e+000
     45      0   1955  3.920000e-005  3.920000e-005  1.400000e-005  6.366080e-016  0.000000e+000
     46      0   1954  2.800000e-006  2.800000e-006  2.936670e-005  8.122240e-016  0.000000e+000
     47   1939     -1  2.800000e-006  2.800000e-006  2.520000e-005  1.251260e-015  0.000000e+000
