  5852
     1   2353      0 5.955674E-06 3.025016E-02 2.800000E-06
     2     -1   2345 9.885176E-06 2.823439E-02 2.800000E-06
     3   2331      0 5.109770E-06 3.687734E-02 2.800000E-06
     4     -1   2308 3.408079E-06 2.461929E-02 9.666494E-05
     5   2298      0 2.025050E-05 3.552730E-02 7.269223E-05
     6     -1   2281 2.198018E-05 3.583652E-02 6.536666E-05
     7     -1   2280 4.960470E-06 3.339640E-02 1.690734E-04
     8     -1   2276 2.866566E-05 3.144128E-02 1.331146E-04
     9     -1   2262 1.041261E-05 2.215955E-02 7.565120E-05
    10   2257      0 2.294236E-06 3.752138E-02 3.920000E-05
    11     -1   2246 7.017568E-06 3.789141E-02 4.200000E-05
    12     -1   2240 1.270721E-05 3.005785E-02 4.668533E-05
    13   2239      0 3.138249E-05 3.872221E-02 2.800000E-06
    14   2238      0 8.170194E-06 3.046069E-02 8.373824E-05
    15   2223      0 4.779724E-06 2.505090E-02 8.203391E-05
    16   2212      0 3.699302E-06 3.307121E-02 4.792828E-05
    17   2192      0 4.533465E-06 3.937109E-02 1.533830E-04
    18     -1   2191 3.533421E-06 3.809230E-02 5.163391E-05
    19   2189      0 3.666833E-06 4.156976E-02 9.285196E-05
    20     -1   2187 3.352439E-05 3.016315E-02 2.800000E-06
    21     -1   2184 7.373963E-06 3.181341E-02 1.328235E-04
    22   2181      0 2.886798E-05 2.888122E-02 2.800000E-06
    23   2180      0 1.890996E-05 2.836168E-02 5.606996E-05
    24     -1   2176 3.189378E-05 2.983805E-02 2.800000E-06
    25   2153      0 2.590636E-05 2.569468E-02 1.577990E-04
    26     -1   2146 1.063584E-05 3.241133E-02 3.889884E-05
    27   2144      0 7.626541E-06 2.659067E-02 8.279028E-05
    28     -1   2136 1.137479E-05 2.882197E-02 8.339786E-05
    29     -1   2135 1.784982E-05 2.450215E-02 4.905996E-05
    30     -1   2120 3.179842E-05 3.533297E-02 2.800000E-06
    31     -1   2091 4.533716E-06 2.929068E-02 1.499217E-04
    32   2087      0 2.700940E-05 3.771991E-02 2.800000E-06
    33   2085      0 2.564347E-05 3.223490E-02 2.800000E-06
    34   2084      0 3.471993E-05 2.467215E-02 2.800000E-06
    35   2078      0 1.809914E-05 3.015976E-02 7.115556E-05
    36   2060      0 2.372881E-05 2.162206E-02 5.178108E-05
    37     -1   2046 6.858364E-06 2.460303E-02 4.162499E-05
    38     -1   2045 1.831229E-06 3.241200E-02 9.258265E-05
    39     -1   2034 2.911015E-06 3.838303E-02 2.112021E-04
    40   2005      0 7.228028E-06 2.109850E-02 4.209323E-05
    41     -1   1990 1.482983E-05 3.103762E-02 4.409444E-05
    42   1984      0 2.493061E-05 3.305911E-02 2.800000E-06
    43   1961      0 6.078642E-06 2.627917E-02 3.324816E-05
    44     -1   1956 1.748299E-05 3.429964E-02 4.726944E-05
    45     -1   1955 1.394924E-05 2.872135E-02 3.920000E-05
    46     -1   1954 2.851197E-05 2.970656E-02 2.800000E-06
    47   1939      0 2.262893E-05 2.894733E-02 2.800000E-06
    48   1929      0 8.772568E-07 3.302551E-02 2.869146E-05
