     1   2353      0 2.800000E-06 2.800000E-06 8.400000E-06 4.609920E-16 0.000000E+00
     2     -1   2345 2.800000E-06 2.800000E-06 1.047664E-05 4.609920E-16 0.000000E+00
     3   2331      0 2.800000E-06 2.800000E-06 5.600000E-06 1.975680E-16 0.000000E+00
     4     -1   2308 9.666494E-05 9.666494E-05 4.849742E-06 1.756160E-16 0.000000E+00
     5   2298      0 7.269223E-05 7.269223E-05 2.240000E-05 9.878400E-16 0.000000E+00
     6     -1   2281 6.536666E-05 6.536666E-05 2.274731E-05 1.975680E-16 0.000000E+00
     7     -1   2280 1.690734E-04 1.690734E-04 7.919596E-06 2.853760E-16 0.000000E+00
     8     -1   2276 1.331146E-04 1.331146E-04 3.130495E-05 2.853760E-16 0.000000E+00
     9     -1   2262 7.565120E-05 7.565120E-05 1.187939E-05 1.756160E-16 0.000000E+00
    10   2257      0 3.920000E-05 3.920000E-05 5.600000E-06 1.975680E-16 0.000000E+00
    11     -1   2246 4.200000E-05 4.200000E-05 8.400000E-06 4.609920E-16 0.000000E+00
    12     -1   2240 4.668533E-05 4.668533E-05 1.371714E-05 5.488000E-16 0.000000E+00
    13   2239      0 2.800000E-06 2.800000E-06 3.360000E-05 1.514688E-15 0.000000E+00
    14   2238      0 8.373824E-05 8.373824E-05 8.400000E-06 2.195200E-17 0.000000E+00
    15   2223      0 8.203391E-05 8.203391E-05 6.260990E-06 1.097600E-16 0.000000E+00
    16   2212      0 4.792828E-05 4.792828E-05 4.849742E-06 1.756160E-16 0.000000E+00
    17   2192      0 1.533830E-04 1.533830E-04 5.600000E-06 1.975680E-16 0.000000E+00
    18     -1   2191 5.163391E-05 5.163391E-05 4.849742E-06 1.756160E-16 0.000000E+00
    19   2189      0 9.285196E-05 9.285196E-05 5.600000E-06 1.975680E-16 0.000000E+00
    20     -1   2187 2.800000E-06 2.800000E-06 3.640000E-05 1.778112E-15 0.000000E+00
    21     -1   2184 1.328235E-04 1.328235E-04 7.919596E-06 2.853760E-16 0.000000E+00
    22   2181      0 2.800000E-06 2.800000E-06 3.080000E-05 1.514688E-15 0.000000E+00
    23   2180      0 5.606996E-05 5.606996E-05 1.960000E-05 9.878400E-16 0.000000E+00
    24     -1   2176 2.800000E-06 2.800000E-06 3.383253E-05 1.975680E-16 0.000000E+00
    25   2153      0 1.577990E-04 1.577990E-04 2.757680E-05 1.075648E-15 0.000000E+00
    26     -1   2146 3.889884E-05 3.889884E-05 1.120000E-05 2.195200E-17 0.000000E+00
    27   2144      0 8.279028E-05 8.279028E-05 9.699485E-06 1.975680E-16 0.000000E+00
    28     -1   2136 8.339786E-05 8.339786E-05 1.187939E-05 1.975680E-16 0.000000E+00
    29     -1   2135 4.905996E-05 4.905996E-05 1.814607E-05 4.609920E-16 0.000000E+00
    30     -1   2120 2.800000E-06 2.800000E-06 3.277316E-05 1.075648E-15 0.000000E+00
    31     -1   2091 1.186168E-04 1.186168E-04 5.600000E-06 1.975680E-16 0.000000E+00
    32   2087      0 2.800000E-06 2.800000E-06 2.800000E-05 1.339072E-15 0.000000E+00
    33   2085      0 2.800000E-06 2.800000E-06 2.800000E-05 1.339072E-15 0.000000E+00
    34   2084      0 2.800000E-06 2.800000E-06 3.640000E-05 1.778112E-15 0.000000E+00
    35   2078      0 7.115556E-05 7.115556E-05 1.960000E-05 9.878400E-16 0.000000E+00
    36   2060      0 5.178108E-05 5.178108E-05 2.520000E-05 2.195200E-17 0.000000E+00
    37     -1   2046 4.162499E-05 4.162499E-05 7.919596E-06 2.853760E-16 0.000000E+00
    38     -1   2045 9.258265E-05 9.258265E-05 3.959798E-06 8.780800E-17 0.000000E+00
    39     -1   2034 2.112021E-04 2.112021E-04 6.260990E-06 1.097600E-16 0.000000E+00
    40   2005      0 4.209323E-05 4.209323E-05 9.699485E-06 1.975680E-16 0.000000E+00
    41     -1   1990 4.409444E-05 4.409444E-05 1.507846E-05 2.853760E-16 0.000000E+00
    42   1984      0 2.800000E-06 2.800000E-06 2.566242E-05 1.975680E-16 0.000000E+00
    43   1961      0 3.324816E-05 3.324816E-05 8.854377E-06 8.780800E-17 0.000000E+00
    44     -1   1956 4.726944E-05 4.726944E-05 1.960000E-05 9.878400E-16 0.000000E+00
    45     -1   1955 3.920000E-05 3.920000E-05 1.400000E-05 6.366080E-16 0.000000E+00
    46     -1   1954 2.800000E-06 2.800000E-06 2.936665E-05 8.122240E-16 0.000000E+00
    47   1939      0 2.800000E-06 2.800000E-06 2.520000E-05 1.251264E-15 0.000000E+00
    48   1929      0 2.869146E-05 2.869146E-05 3.959798E-06 6.585600E-17 0.000000E+00
    49     -1   1926 1.167046E-04 1.167046E-04 1.120000E-05 4.609920E-16 0.000000E+00
    50     -1   1921 2.936665E-05 2.936665E-05 5.600000E-06 1.975680E-16 0.000000E+00
    51     -1   1920 2.800000E-06 2.800000E-06 2.596613E-05 4.609920E-16 0.000000E+00
    52     -1   1898 1.045208E-04 1.045208E-04 3.959798E-06 1.097600E-16 0.000000E+00
    53     -1   1897 8.828472E-05 8.828472E-05 5.600000E-06 2.195200E-17 0.000000E+00
    54   1891      0 9.757491E-05 9.757491E-05 3.959798E-06 8.780800E-17 0.000000E+00
    55   1890      0 2.800000E-06 2.800000E-06 3.596665E-05 1.514688E-15 0.000000E+00
    56     -1   1879 2.800000E-06 2.800000E-06 3.080000E-05 1.514688E-15 0.000000E+00
    57   1871      0 4.310545E-05 4.310545E-05 2.095328E-05 4.609920E-16 0.000000E+00
    58   1870      0 6.332316E-05 6.332316E-05 5.600000E-06 1.975680E-16 0.000000E+00
