11958   
      1   2345     -1  9.885180e-006  2.823440e-002  1.607660e-005
      2   2308     -1  3.408080e-006  2.461930e-002  1.981795e-004
      3   2281     -1  2.198020e-005  3.583650e-002  1.534807e-004
      4   2280     -1  4.960470e-006  3.339640e-002  3.460656e-004
      5   2276     -1  2.866570e-005  3.144130e-002  2.975349e-004
      6   2262     -1  1.041260e-005  2.215960e-002  1.631818e-004
      7   2246     -1  7.017570e-006  3.789140e-002  9.240000e-005
      8   2240     -1  1.270720e-005  3.005780e-002  1.070877e-004
      9   2191     -1  3.533420e-006  3.809230e-002  1.081175e-004
     10   2187     -1  3.352440e-005  3.016320e-002  4.200000e-005
     11   2184     -1  7.373960e-006  3.181340e-002  2.735656e-004
     12   2176     -1  3.189380e-005  2.983800e-002  3.943250e-005
     13   2146     -1  1.063580e-005  3.241130e-002  8.899760e-005
     14   2136     -1  1.137480e-005  2.882200e-002  1.786752e-004
     15   2135     -1  1.784980e-005  2.450220e-002  1.162661e-004
     16   2120     -1  3.179840e-005  3.533300e-002  3.837320e-005
     17   2091     -1  4.533720e-006  2.929070e-002  2.428340e-004
     18   2046     -1  6.858360e-006  2.460300e-002  9.116960e-005
     19   2045     -1  1.831230e-006  3.241200e-002  1.891252e-004
     20   2034     -1  2.911010e-006  3.838300e-002  4.286650e-004
     21   1990     -1  1.482980e-005  3.103760e-002  1.032673e-004
     22   1956     -1  1.748300e-005  3.429960e-002  1.141388e-004
     23   1955     -1  1.394920e-005  2.872130e-002  9.240000e-005
     24   1954     -1  2.851200e-005  2.970660e-002  3.496670e-005
     25   1926     -1  9.061620e-006  2.810700e-002  2.446100e-004
     26   1921     -1  3.180160e-006  3.397820e-002  6.433340e-005
     27   1920     -1  2.322310e-005  3.130210e-002  3.156610e-005
     28   1898     -1  3.884410e-006  3.389860e-002  2.130018e-004
     29   1897     -1  3.428330e-006  2.613820e-002  1.821694e-004
     30   1879     -1  3.044030e-005  2.883980e-002  3.640000e-005
     31   1851     -1  8.407250e-006  3.415190e-002  1.591187e-004
     32   1846     -1  4.661790e-006  2.657190e-002  6.823340e-005
     33   1834     -1  5.958400e-006  1.677040e-002  1.690504e-004
     34   1784     -1  8.116150e-006  3.292530e-002  1.019423e-004
     35   1753     -1  1.946970e-005  2.543360e-002  2.800000e-005
